t,spec_uid,uid,suite,task_id,seed,base_idx,w,noise_seed,cluster,is_novel_injection,lifecycle_state,executor,decision_reason,outcome,steps,bc_pool,sigma_k,phi_k,p_ge_tau,tau,wall_s,ledger,episode,cluster_id,cold_start,initial_state_id,episode_seed,observation_noise_seed,perturbation_width,controller,state_before,state_after,B_k_size,training_triggered,training_round,probe_triggered,probe_success_count,probe_failure_count,tau_k,habit_fired,habit_success,teacher_used,teacher_success,demotion,rematuration,transition_to_X,episode_success,VLA_calls,habit_calls,episode_latency,wall_clock_time,policy_version,probe_rounds,ineligible,shadow_jur_score,shadow_jur_q,shadow_jur_accept,aci_fired,aci_fired_fail,aci_empirical_risk,retrain_n,retrain_probe_round,retrain_passed,retrain_train_wall_s,retrain_formation_wall_s,retrain_probe_habit_calls,retrain_bc_pool_at_trigger,ledger_update_source,ledger_update_success
2247,12688fb95cb43fbc,12688fb95cb43fbc,libero_goal,0,2,7,0.01,8002247,libero_goal_task0,False,M,habit,fire,success,145,80,26.5,1.5,0.9725,0.8,2.98,operational,2247,libero_goal_task0,False,7,92247,8002247,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,19,2.98,2026-08-31 10:26:22,2,2,False,4.513,6.126,True,3,0,0.0,,,,,,,,fire,True
2248,1e9021515c6b3854,1e9021515c6b3854,libero_goal,2,2,8,0.01,8002248,libero_goal_task2,False,M,habit,fire,success,88,20,74.0,2.0,1.0,0.8,3.8,operational,2248,libero_goal_task2,False,8,92248,8002248,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,11,3.796,2026-08-31 10:26:26,1,1,False,4.885,7.593,True,56,2,0.0357,,,,,,,,fire,True
2249,370d7df7599df5d9,370d7df7599df5d9,libero_object,0,2,9,0.01,8002249,libero_object_task0,False,M,habit,fire,success,146,80,30.5,0.5,0.9973,0.8,4.36,operational,2249,libero_object_task0,False,9,92249,8002249,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,19,4.364,2026-08-31 10:26:31,2,2,False,5.175,7.11,True,6,0,0.0,,,,,,,,fire,True
2250,83464776324d5ccf,83464776324d5ccf,libero_object,0,2,10,0.01,8002250,libero_object_task0,False,M,habit,fire,success,152,80,31.5,0.5,0.9978,0.8,2.94,operational,2250,libero_object_task0,False,10,92250,8002250,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,19,2.939,2026-08-31 10:26:36,2,2,False,5.152,7.11,True,7,0,0.0,,,,,,,,fire,True
2251,fac1b50a0e006b85,fac1b50a0e006b85,libero_goal,4,2,11,0.01,8002251,libero_goal_task4,False,M,habit,fire,success,84,20,73.0,5.0,0.9994,0.8,2.48,operational,2251,libero_goal_task4,False,11,92251,8002251,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,11,2.48,2026-08-31 10:26:39,1,1,False,4.482,6.268,True,58,4,0.069,,,,,,,,fire,True
2252,14211be26fc47433,14211be26fc47433,libero_object,4,2,12,0.01,8002252,libero_object_task4,False,M,habit,fire,success,128,20,74.0,0.0,1.0,0.8,3.98,operational,2252,libero_object_task4,False,12,92252,8002252,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,16,3.978,2026-08-31 10:26:43,1,1,False,6.31,6.7,True,54,0,0.0,,,,,,,,fire,True
2253,90ec6b067066eec0,90ec6b067066eec0,libero_goal,4,2,13,0.01,8002253,libero_goal_task4,False,M,habit,fire,success,77,20,74.0,5.0,0.9994,0.8,2.42,operational,2253,libero_goal_task4,False,13,92253,8002253,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,10,2.416,2026-08-31 10:26:47,1,1,False,5.442,6.268,True,59,4,0.0678,,,,,,,,fire,True
2254,0a2161c2d45dc9a5,0a2161c2d45dc9a5,libero_object,0,2,14,0.01,8002254,libero_object_task0,False,M,habit,fire,success,145,80,32.5,0.5,0.9982,0.8,4.25,operational,2254,libero_object_task0,False,14,92254,8002254,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,19,4.253,2026-08-31 10:26:50,2,2,False,6.583,7.11,True,8,0,0.0,,,,,,,,fire,True
2255,c6cde8c7cbf658c5,c6cde8c7cbf658c5,libero_object,5,2,15,0.01,8002255,libero_object_task5,False,M,habit,fire,success,114,80,32.75,1.5,0.9912,0.8,2.7,operational,2255,libero_object_task5,False,15,92255,8002255,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,15,2.703,2026-08-31 10:26:55,2,2,False,5.663,7.184,True,10,1,0.1,,,,,,,,fire,True
2256,83b05ae360bb8986,83b05ae360bb8986,libero_object,0,2,16,0.01,8002256,libero_object_task0,False,M,habit,fire,success,143,80,33.5,0.5,0.9986,0.8,2.97,operational,2256,libero_object_task0,False,16,92256,8002256,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,18,2.971,2026-08-31 10:26:57,2,2,False,4.645,7.11,True,9,0,0.0,,,,,,,,fire,True
