seed,episode,cluster_id,suite,task_id,n,probe_round,policy_version,bc_pool_at_trigger,train_wall_s,probe_and_prep_wall_s,formation_event_wall_s,probe_episodes,probe_habit_calls,probe_success_count,probe_failure_count,passed
2,1154,libero_spatial_task3,libero_spatial,3,20,1,1,20,228.2,58.2,286.4,20,224,20,0,True
2,1502,libero_spatial_task9,libero_spatial,9,20,1,1,20,226.7,72.5,299.2,20,386,13,7,False
2,1598,libero_spatial_task8,libero_spatial,8,20,1,1,20,227.2,66.0,293.2,20,311,16,4,False
2,1643,libero_spatial_task7,libero_spatial,7,20,1,1,20,226.5,72.8,299.3,20,358,15,5,False
2,1679,libero_spatial_task2,libero_spatial,2,20,1,1,20,226.6,62.1,288.7,20,277,19,1,True
2,1739,libero_spatial_task6,libero_spatial,6,20,1,1,20,227.0,60.7,287.7,20,271,20,0,True
2,1893,libero_object_task1,libero_object,1,80,2,2,80,626.8,53.3,680.1,20,333,20,0,False
2,1895,libero_spatial_task5,libero_spatial,5,20,1,1,20,225.5,75.1,300.6,20,415,9,11,False
2,1951,libero_object_task6,libero_object,6,80,2,2,80,627.9,56.8,684.7,20,395,19,1,False
2,1988,libero_goal_task6,libero_goal,6,80,2,2,80,629.2,54.3,683.5,20,321,17,3,False
2,2011,libero_object_task0,libero_object,0,80,2,2,80,625.0,59.5,684.5,20,380,20,0,True
2,2091,libero_object_task5,libero_object,5,80,2,2,80,629.8,54.9,684.7,20,349,19,1,True
2,2104,libero_spatial_task1,libero_spatial,1,80,2,2,80,625.4,64.8,690.2,20,289,19,1,True
2,2153,libero_spatial_task4,libero_spatial,4,20,1,1,20,226.7,66.9,293.6,20,322,19,1,True
2,2160,libero_goal_task5,libero_goal,5,80,2,2,80,626.7,57.3,684.0,20,347,18,2,False
2,2172,libero_object_task3,libero_object,3,80,2,2,80,624.9,54.5,679.4,20,366,18,2,False
2,2216,libero_goal_task0,libero_goal,0,80,2,2,80,627.3,55.9,683.2,20,346,20,0,True
2,2220,libero_object_task7,libero_object,7,80,2,2,80,625.6,55.8,681.4,20,359,18,2,False
2,2301,libero_spatial_task0,libero_spatial,0,80,2,2,80,629.7,61.1,690.8,20,244,18,2,False
2,2361,libero_goal_task3,libero_goal,3,80,2,2,80,625.2,69.3,694.5,20,536,14,6,False
2,2401,libero_10_task5,libero_10,5,80,2,2,80,627.9,56.7,684.6,20,497,19,1,True
2,2453,libero_goal_task9,libero_goal,9,80,2,2,80,627.5,56.2,683.7,20,353,19,1,False
2,2460,libero_10_task0,libero_10,0,80,2,2,80,625.4,98.0,723.4,20,870,13,7,False
