seed,episode,cluster_id,suite,task_id,cold_start,event_type,state_before,state_after,B_k_size,sigma_k,phi_k,tau_k,policy_version,probe_rounds,n,probe_round,probe_success_count,probe_failure_count,passed
0,2214,libero_goal_task5,libero_goal,5,False,retraining,I,M,80,24.0,1.0,0.8,2,2,80,2,20,0,True
0,2214,libero_goal_task5,libero_goal,5,False,first_maturity,I,M,80,24.0,1.0,0.8,2,2,,,,,
0,2229,libero_goal_task3,libero_goal,3,False,retraining,I,X,80,20.25,4.75,0.8,2,2,80,2,16,4,False
0,2229,libero_goal_task3,libero_goal,3,False,transition_X,I,X,80,20.25,4.75,0.8,2,2,,,,,
0,2270,libero_object_task9,libero_object,9,False,retraining,I,X,80,22.75,2.25,0.8,2,2,80,2,19,1,False
0,2270,libero_object_task9,libero_object,9,False,transition_X,I,X,80,22.75,2.25,0.8,2,2,,,,,
0,2308,libero_goal_task8,libero_goal,8,False,retraining,I,M,80,24.5,0.5,0.8,2,2,80,2,20,0,True
0,2308,libero_goal_task8,libero_goal,8,False,first_maturity,I,M,80,24.5,0.5,0.8,2,2,,,,,
0,2356,libero_goal_task6,libero_goal,6,False,retraining,I,M,80,23.0,2.0,0.8,2,2,80,2,19,1,True
0,2356,libero_goal_task6,libero_goal,6,False,first_maturity,I,M,80,23.0,2.0,0.8,2,2,,,,,
0,2362,libero_object_task3,libero_object,3,False,retraining,I,X,80,23.0,3.5,0.816,2,2,80,2,17,3,False
0,2362,libero_object_task3,libero_object,3,False,transition_X,I,X,80,23.0,3.5,0.816,2,2,,,,,
0,2403,libero_goal_task6,libero_goal,6,False,demotion,M,I,80,24.0,3.0,0.816,2,2,,,,,
0,2413,libero_object_task0,libero_object,0,False,retraining,I,X,80,15.25,9.75,0.8,2,2,80,2,13,7,False
0,2413,libero_object_task0,libero_object,0,False,transition_X,I,X,80,15.25,9.75,0.8,2,2,,,,,
0,2450,libero_object_task5,libero_object,5,False,retraining,I,M,80,23.5,1.5,0.8,2,2,80,2,20,0,True
0,2450,libero_object_task5,libero_object,5,False,first_maturity,I,M,80,23.5,1.5,0.8,2,2,,,,,
0,2508,libero_spatial_task1,libero_spatial,1,False,retraining,I,M,80,24.5,0.5,0.8,2,2,80,2,20,0,True
0,2508,libero_spatial_task1,libero_spatial,1,False,first_maturity,I,M,80,24.5,0.5,0.8,2,2,,,,,
0,2509,libero_object_task6,libero_object,6,False,retraining,I,X,80,22.5,2.5,0.8,2,2,80,2,18,2,False
0,2509,libero_object_task6,libero_object,6,False,transition_X,I,X,80,22.5,2.5,0.8,2,2,,,,,
0,2634,libero_10_task2,libero_10,2,False,retraining,I,M,80,25.25,0.5,0.816,2,2,80,2,20,0,True
